Nom,Connections Nombre,Date,Dates de Tirage,Dernier Tirage,Description,Elément de la Suite,Mots-clés de la Suite,Nombre de Tirages,Nombres et Cartes de la Court🦄,Numbre Lié,Numerologie,Numéro Random,Renversée,Signification,Signification du Nombre,Suite,Suite 1,TIRAGES,TIRAGES DE TAROT 🪬,Tarot Suites 🦄
0 Le Fou,,,,,"D'un pas léger, comme si la terre et ses entraves n'avaient guère le pouvoir de le retenir, un jeune homme vêtu d'habits somptueux s'arrête au bord d'un précipice parmi les grandes hauteurs du monde ; il regarde la distance bleue devant lui - son étendue de ciel plutôt que la perspective en dessous. Son geste de marcher avec ardeur est encore indiqué, bien qu'il soit immobile à ce moment-là ; son chien bondit encore. Le bord qui s'ouvre sur la profondeur n'a rien d'effrayant ; on dirait que des anges l'attendent pour le soutenir, s'il arrivait qu'il saute de la hauteur. Son visage est plein d'intelligence et de rêverie. Il a une rose dans une main et dans l'autre une baguette coûteuse, de laquelle dépend sur son épaule droite un portefeuille curieusement brodé. C'est un prince de l'autre monde qui voyage dans celui-ci, au milieu de la gloire du matin, dans l'air vif. Le soleil, qui brille derrière lui, sait d'où il vient, où il va et comment il reviendra par un autre chemin après de nombreux jours. Il est l'esprit en quête d'expérience. Dans son Manuel de Cartomancie, le Grand Orient suggère curieusement la fonction de Fou Mystique, comme faisant partie de son processus de divination supérieure, mais il faudrait peut-être des dons plus qu'ordinaires pour la mettre en oeuvre. Nous verrons comment la carte se comporte selon les arts courants de la cartomancie, et ce sera un exemple, pour ceux qui savent discerner, du fait, par ailleurs si évident, que les atouts majeurs n'avaient pas leur place à l'origine dans les arts du jeu psychique, lorsque les cartes sont utilisées comme pions et prétextes. Nous savons cependant très peu de choses sur les circonstances dans lesquelles cet art est apparu. Les explications conventionnelles disent que le Fou signifie la chair, la vie sensible, et par une satire particulière, son nom subsidiaire était à une époque l'alchimiste, comme représentant la folie au stade le plus insensé.",,"Vie, égo, conscience",0,,0,,✨1,"Négligence, absence, distribution, insouciance, apathie, nullité, vanité.","Nouveaux départs, innocence, ouverture d'esprit. Folie, manie, extravagance, intoxication, délire, frénésie, emballement.",,Arcane Majeure : Ligne de Vie,Arcane Majeure : Ligne 1 (https://www.notion.so/Arcane-Majeure-Ligne-1-f39864cb82b24dcd80031d96ebf1e8a4?pvs=21),,,
Trois d’Epées,"https://www.notion.so/1256b41e7c4e407fadb601c9fe2c8046, https://www.notion.so/3b83fa022d4f40beb5f8ca2b77d1ca11, https://www.notion.so/4b5761373d044996925088a468f6301c, https://www.notion.so/4dee890fd9924dacb30020920f70dac0, https://www.notion.so/55c7f16955a3471bb1b61a8df7dd8b39, https://www.notion.so/a81e8cdec384425980b56077b8d599cc, https://www.notion.so/fb0a43a12b27490a8496d45e5e405c82",,,,Trois épées transperçant un cœur ; nuage et pluie derrière.,🌬Air,"Esprit, Imaginaire, Mental",0,,3,Trois (https://www.notion.so/Trois-5b61bce79f3347f48d65a28533791737?pvs=21),✨53,"Guérir et soigner les blessures; Aliénation mentale, erreur, perte, distraction, trouble, confusion.","Blessures mentales et/ou émotionnelles profondes. La suppression, l'absence, le retard, la division, la rupture, la dispersion, et tout ce que le dessin signifie naturellement, étant trop simple et évident pour appeler une énumération spécifique.","Synthèse ; connexion de l'esprit, de l'âme et du corps",Epées,Epées (https://www.notion.so/Ep-es-bcb057fdbc6f4faab96344f1bddec5bc?pvs=21),,,
Trois de Bâtons,"https://www.notion.so/1256b41e7c4e407fadb601c9fe2c8046, https://www.notion.so/3b83fa022d4f40beb5f8ca2b77d1ca11, https://www.notion.so/4b5761373d044996925088a468f6301c, https://www.notion.so/4dee890fd9924dacb30020920f70dac0, https://www.notion.so/55c7f16955a3471bb1b61a8df7dd8b39, https://www.notion.so/a81e8cdec384425980b56077b8d599cc, https://www.notion.so/fb0a43a12b27490a8496d45e5e405c82",,,,"Un personnage calme et majestueux, le dos tourné, regarde depuis le bord d'une falaise les bateaux qui passent sur la mer. Trois bâtons sont plantés dans le sol, et il s'appuie légèrement sur l'un d'eux.",🔥 Feu,"Feu, action, créativité",0,,3,Trois (https://www.notion.so/Trois-5b61bce79f3347f48d65a28533791737?pvs=21),✨25,"Obstacles; La fin des ennuis, la suspension ou la cessation de l'adversité, du labeur et de la déception.","Expansion, Il symbolise la force établie, l'entreprise, l'effort, le commerce, la découverte ; ce sont ses navires, portant sa marchandise, qui naviguent sur la mer. La carte signifie également une coopération efficace dans les affaires, comme si le prince marchand prospère regardait de son côté vers le vôtre dans le but de vous aider.","Synthèse ; connexion de l'esprit, de l'âme et du corps",Bâtons,Bâtons (https://www.notion.so/B-tons-bb87bd4935944028bfbf72b7897c337e?pvs=21),,,
Valet de Pentacles,"https://www.notion.so/23c7fe323e1844ecb09c67a778aeba45, https://www.notion.so/62c7cb232f184db485db25fe242d4911, https://www.notion.so/a7127f4e6e6b4554ad705e9a7376206f, https://www.notion.so/f06d93a40e144c27a775c53504d7a7e6",,,,"Une figure jeune, qui regarde attentivement le pentacle qui plane au-dessus de ses mains levées. Il se déplace lentement, insensible à ce qui l'entoure.",🌱Terre,"Corps, fabrication, rapport aux ressources",0,,11,Valets (https://www.notion.so/Valets-c8b9e76ce95144e6865ed04a07b0914b?pvs=21),✨47,"Concentration à court terme, distraction; Prodigalité, dissipation, libéralité, luxe ; nouvelles défavorables.","Idées, opportunités, connexion aux ressources intérieures.  L'application, l'étude, l'érudition, la réflexion ; une autre lecture dit les nouvelles, les messages et celui qui les apporte ; aussi la règle, la gestion.",Racines/Fondations,Pentacles,Pentacles (https://www.notion.so/Pentacles-6dc23f23bede4957b9abf2c636fd3199?pvs=21),,,
Six de Coupes,"https://www.notion.so/2d2b37fc265745008eb73475092a4278, https://www.notion.so/4709ecb04be74dc8b530e7d7fd7dcc71, https://www.notion.so/51331b416be648c78509bc7448548291, https://www.notion.so/8b38a428641b4738ac23d4deca431b0f, https://www.notion.so/dd67761b50d34651a928c20f94110a96, https://www.notion.so/f9db2aadbec64204887e60a0a9f8ad55",,,,"Des enfants dans un vieux jardin, leurs tasses remplies de fleurs.",💧Eau,"Emotions, Relations",0,,6,Six (https://www.notion.so/Six-7dc5f0e583094f4481277414c377ddc8?pvs=21),✨70,"Être coincé dans le passé; L'avenir, le renouveau, ce qui va se réaliser dans l'immédiat.","Nostalgie, enfance. Une carte du passé et des souvenirs, un regard en arrière, comme par exemple sur l'enfance ; le bonheur, le plaisir, mais venant plutôt du passé ; des choses qui ont disparu. Une autre lecture inverse cela, en donnant de nouvelles relations, de nouvelles connaissances, un nouvel environnement, et alors les enfants se dépaysent dans un quartier inconnu.","Expansion, créativité, sortie de la chrysalide",Coupes,Coupes (https://www.notion.so/Coupes-27f997d58d8d427c917ebcdc8cf6ae77?pvs=21),,,
XXI Le Monde,"https://www.notion.so/1256b41e7c4e407fadb601c9fe2c8046, https://www.notion.so/3b83fa022d4f40beb5f8ca2b77d1ca11, https://www.notion.so/4b5761373d044996925088a468f6301c, https://www.notion.so/4dee890fd9924dacb30020920f70dac0, https://www.notion.so/55c7f16955a3471bb1b61a8df7dd8b39, https://www.notion.so/a81e8cdec384425980b56077b8d599cc, https://www.notion.so/fb0a43a12b27490a8496d45e5e405c82",,,,"Comme ce message final des atouts majeurs est inchangé - et même immuable - en ce qui concerne sa conception, il a déjà été partiellement décrit en ce qui concerne son sens profond. Il représente aussi la perfection et la fin du Cosmos, le secret qui est en lui, le ravissement de l'univers lorsqu'il se comprend en Dieu. C'est encore l'état de l'âme dans la conscience de la Vision Divine, reflétée par l'esprit qui se connaît lui-même. Mais ces significations ne préjugent pas de ce que j'ai dit à son sujet du côté matériel : elle a plus d'un message du côté macrocosmique et c'est, par exemple, l'état du monde restauré lorsque la loi de la manifestation aura été portée au plus haut degré de perfection naturelle. Mais il s'agit peut-être plus particulièrement d'une histoire du passé, faisant référence à ce jour où tout a été déclaré bon, où les étoiles du matin ont chanté ensemble et où tous les Fils de Dieu ont poussé des cris de joie. L'une des pires explications à son sujet est que la figure symbolise le Mage lorsqu'il a atteint le plus haut degré d'initiation ; un autre récit dit qu'elle représente l'absolu, ce qui est ridicule. On a dit que la figure représentait la Vérité, ce qui est toutefois mieux attribué à la dix-septième carte. Enfin, on l'a appelée la Couronne des Mages.",,"Renaissance, émergence",1,,21,Trois (https://www.notion.so/Trois-5b61bce79f3347f48d65a28533791737?pvs=21),✨22,"Il faut plus de pièces en place pour l'achèvement; Inertie, fixité, stagnation, permanence.","Achèvement, accomplissement, Succès assuré, récompense, voyage, itinéraire, émigration, fuite, changement de lieu.","Synthèse ; connexion de l'esprit, de l'âme et du corps",Arcane Majeure : Spirale de Renaissance,Arcane Majeure : 3ème Ligne (https://www.notion.so/Arcane-Majeure-3-me-Ligne-7826df0c5a0f44b6a7670726a851e93a?pvs=21),Tirage du Cœur Estival (https://www.notion.so/Tirage-du-C-ur-Estival-f9ec550a7280458a922eb7cfbaaa88ac?pvs=21),,
Cinq de Coupes,"https://www.notion.so/02607a24b1004b958e1fcc325b077d43, https://www.notion.so/0e32926d98784416951ee5af3efd2809, https://www.notion.so/43f0f7a0e8d84ac79ee317ac41b8cc9b, https://www.notion.so/5c8f48d7b6404ac986c87153ccd48660, https://www.notion.so/8d516790c57d45bfb82be0dca4be42ed, https://www.notion.so/ce3debfe0aaf4d279296b9cc563c3cb1",,,,"Un personnage sombre et cagoulé, regardant de côté trois gobelets couchés ; deux autres se tiennent debout derrière lui ; un pont est en arrière-plan, menant à un petit donjon ou à une retenue. Significations divines : C'est une carte de perte, mais il reste quelque chose ; trois ont été prises, mais il en reste deux.",💧Eau,"Emotions, Relations",0,,5,Cinq (https://www.notion.so/Cinq-e1b3287c821e44a2a793a6a1dcbc7e97?pvs=21),✨69,"Lâcher prise sur le chagrin, l'acceptation, le pardon.  Nouvelles, alliances, affinité, consanguinité, ascendance, retour, faux projets.","Chagrin, perte. c'est une carte d'héritage, de patrimoine, de transmission, mais ne correspondant pas aux attentes ; avec certains interprètes, c'est une carte de mariage, mais non sans amertume ou frustration. ","Chrysalide, l'obscurité comme partie de la transformation",Coupes,Coupes (https://www.notion.so/Coupes-27f997d58d8d427c917ebcdc8cf6ae77?pvs=21),,,
Huit d’Epées,"https://www.notion.so/0f16cb79cc4249b98771ffc5c6396dbd, https://www.notion.so/394b21f3f2c94669b237db5ba0b4aa2d, https://www.notion.so/5e45d9172a5e4969b9de36d5d6bb3b0e, https://www.notion.so/ad97e5932f8c4f27b99ee408fec5c54f, https://www.notion.so/d2cfbe5be31f4282b792e2d02ef5bf9a, https://www.notion.so/d661a1f78b914aef976db67812f3f0a7",,,,"Une femme, liée et trompée, avec les épées de la carte autour d'elle. Pourtant, il s'agit plutôt d'une carte de durabilité temporaire que de servitude irrémédiable.",🌬Air,"Esprit, Imaginaire, Mental",0,,8,Huit (https://www.notion.so/Huit-c63bc808e73246ffae792435b478ce3a?pvs=21),✨58,"Trouver une issue; Inquiétude, difficulté, opposition, accident, trahison ; ce qui est imprévu ; la fatalité.","Se sentir piégé. Mauvaise nouvelle, chagrin violent, crise, censure, pouvoir aux entraves, conflit, calomnie ; également maladie.","Transformation, mouvement",Epées,Epées (https://www.notion.so/Ep-es-bcb057fdbc6f4faab96344f1bddec5bc?pvs=21),,,
Quatre de Pentacles,"https://www.notion.so/32fb62f5a60f4a7cad6342989636fb75, https://www.notion.so/4bb79aec6e064c71828c03ebd42bf035, https://www.notion.so/b54e1fe7547a466f97ad45f7e7385ab5, https://www.notion.so/cf3ef54f956f4748af85d9967365d119, https://www.notion.so/e2924185689b466d99e6a71e9057d2be, https://www.notion.so/f5ff3e27e6274b3d9d2fab6e6cf85751",,"February 13, 2023",La Voie des Êtres Stellaires - Tirage 13 Février 2022,"Un personnage couronné, avec un pentacle sur sa couronne, en serre un autre avec les mains et les bras ; deux pentacles sont sous ses pieds. Il tient à ce qu'il a.",🌱Terre,"Corps, fabrication, rapport aux ressources",0,,4,Quatre (https://www.notion.so/Quatre-944513e796a64c0b97ca99a25a907ec9?pvs=21),✨40,"Avidité, possessivité; Suspense, retard, opposition.","Sentiment de ressource, stabilité. Sûreté des biens, attachement à ce que l'on possède, don, legs, héritage.","Structure, limites, soins personnels",Pentacles,Pentacles (https://www.notion.so/Pentacles-6dc23f23bede4957b9abf2c636fd3199?pvs=21),,La Voie des Êtres Stellaires - Tirage 13 Février 2022 (https://www.notion.so/La-Voie-des-tres-Stellaires-Tirage-13-F-vrier-2022-ef94f07a950a4e53ac324c288f618802?pvs=21),
VI Les Amoureux,"https://www.notion.so/2d2b37fc265745008eb73475092a4278, https://www.notion.so/4709ecb04be74dc8b530e7d7fd7dcc71, https://www.notion.so/51331b416be648c78509bc7448548291, https://www.notion.so/8b38a428641b4738ac23d4deca431b0f, https://www.notion.so/dd67761b50d34651a928c20f94110a96, https://www.notion.so/f9db2aadbec64204887e60a0a9f8ad55",,,,"Le soleil brille au zénith, et en dessous se trouve une grande figure ailée aux bras étendus, déversant des influences. Au premier plan se trouvent deux figures humaines, un homme et une femme, dévoilés l'un devant l'autre, comme Adam et Eve lorsqu'ils occupèrent pour la première fois le paradis du corps terrestre. Derrière l'homme se trouve l'arbre de vie, portant douze fruits, et derrière la femme, l'arbre de la connaissance du bien et du mal, autour duquel s'enroule le serpent. Les figures suggèrent la jeunesse, la virginité, l'innocence et l'amour avant qu'il ne soit contaminé par le désir matériel grossier. C'est en toute simplicité la carte de l'amour humain, ici exposé comme faisant partie du chemin, de la vérité et de la vie. Elle remplace, par le recours aux premiers principes, l'ancienne carte du mariage, que j'ai décrite précédemment, et les folies ultérieures qui ont représenté l'homme entre le vice et la vertu. Dans un sens très élevé, la carte est un mystère de l'Alliance et du Sabbat. La suggestion concernant la femme est qu'elle signifie cette attraction vers la vie sensible qui porte en elle l'idée de la chute de l'homme, mais elle est plutôt l'œuvre d'une loi secrète de la Providence qu'une tentatrice volontaire et consciente. C'est à travers sa faute imputée que l'homme surgira finalement, et ce n'est que par elle qu'il pourra se compléter. La carte est donc, à sa manière, une autre indication concernant le grand mystère de la féminité. Les anciennes significations s'effondrent nécessairement avec les anciennes images, mais même en tant qu'interprétations de ces dernières, certaines d'entre elles étaient de l'ordre du lieu commun et d'autres étaient fausses dans leur symbolisme.",,"Vie, égo, conscience",0,,6,Six (https://www.notion.so/Six-7dc5f0e583094f4481277414c377ddc8?pvs=21),✨7,"Solitude, isolement, conflit, Échec, desseins insensés. Un autre récit parle de mariage frustré et de contrariétés de toutes sortes.","Partenariat, relations, dualité, attraction, amour, beauté, épreuves surmontées.","Expansion, créativité, sortie de la chrysalide",Arcane Majeure : Ligne de Vie,Arcane Majeure : Ligne 1 (https://www.notion.so/Arcane-Majeure-Ligne-1-f39864cb82b24dcd80031d96ebf1e8a4?pvs=21),,,
Valet de Bâtons,"https://www.notion.so/23c7fe323e1844ecb09c67a778aeba45, https://www.notion.so/62c7cb232f184db485db25fe242d4911, https://www.notion.so/a7127f4e6e6b4554ad705e9a7376206f, https://www.notion.so/f06d93a40e144c27a775c53504d7a7e6",,,,"Dans une scène similaire à la précédente, un jeune homme est en train d'annoncer la nouvelle. Il est inconnu mais fidèle, et ses nouvelles sont étranges.",🔥 Feu,"Feu, action, créativité",0,,11,Valets (https://www.notion.so/Valets-c8b9e76ce95144e6865ed04a07b0914b?pvs=21),✨33,"Procrastination; Anecdotes, annonces, mauvaises nouvelles. Également l'indécision et l'instabilité qui l'accompagne.","Exploration, enthousiasme. Jeune homme brun, fidèle, un amant, un envoyé, un facteur. A côté d'un homme, il apportera un témoignage favorable à son sujet. Un rival dangereux, s'il est suivi par le Page de Coupes. Possède les principales qualités de son costume. Il peut signifier l'intelligence familiale.",Racines/Fondations,Bâtons,Bâtons (https://www.notion.so/B-tons-bb87bd4935944028bfbf72b7897c337e?pvs=21),,,
As d’Epées,"https://www.notion.so/130805d5f8c54825a7c8a61682882c01, https://www.notion.so/27d5ca59365c435f89c4121027368a3c, https://www.notion.so/34165b0a55984ba0ba00fa134ff5cb79, https://www.notion.so/8e930ab535b74904bbd4b2db25eb0429, https://www.notion.so/a991a1b7910240059ea2fa497a28eddc, https://www.notion.so/c828903eafcb45789c616d561264a598, https://www.notion.so/e11f7e97f22a4da0977fea4e9f1bc706",,,,"Une main sort d'un nuage, saisissant un mot, dont la pointe est entourée d'une couronne.",🌬Air,"Esprit, Imaginaire, Mental",1,,1,As/Un (https://www.notion.so/As-Un-291bbf0a48234c84be0a32df14f72e31?pvs=21),✨51,"Brouillard mental; La même chose, mais les résultats sont désastreux ; un autre récit dit : conception, accouchement, augmentation, multiplicité.","Utiliser votre cerveau pour initier. Le triomphe, le degré excessif en toute chose, la conquête, le triomphe de la force. C'est une carte de grande force, en amour comme en haine. La couronne peut avoir une signification beaucoup plus importante que ce que l'on entend habituellement dans le domaine de la cartomancie.","Une invitation à prendre vos outils, à la magie personnelle, aux capacités infinies, au partage des messages.",Epées,Epées (https://www.notion.so/Ep-es-bcb057fdbc6f4faab96344f1bddec5bc?pvs=21),Les problèmes de l’été (https://www.notion.so/Les-probl-mes-de-l-t-8f571347361940d99bebe8b1591d7f32?pvs=21),,
As de Bâtons,"https://www.notion.so/130805d5f8c54825a7c8a61682882c01, https://www.notion.so/27d5ca59365c435f89c4121027368a3c, https://www.notion.so/34165b0a55984ba0ba00fa134ff5cb79, https://www.notion.so/8e930ab535b74904bbd4b2db25eb0429, https://www.notion.so/a991a1b7910240059ea2fa497a28eddc, https://www.notion.so/c828903eafcb45789c616d561264a598, https://www.notion.so/e11f7e97f22a4da0977fea4e9f1bc706",,,,Une main sortant d'un nuage saisit un bâton ou une massue robuste.,🔥 Feu,"Feu, action, créativité",0,,1,As/Un (https://www.notion.so/As-Un-291bbf0a48234c84be0a32df14f72e31?pvs=21),✨23,"Utiliser notre créativité et notre énergie pour créer quelque chose de nouveau.; Chute, décadence, ruine, perdition, périr aussi une certaine joie trouble.","Utiliser notre créativité et notre énergie pour créer quelque chose de nouveau, La création, l'invention, l'entreprise, les pouvoirs qui en découlent ; le principe, le commencement, la source ; la naissance, la famille, l'origine, et en un sens la virilité qui les sous-tend ; le point de départ des entreprises ; selon un autre récit, l'argent, la fortune, l'héritage.","Une invitation à prendre vos outils, à la magie personnelle, aux capacités infinies, au partage des messages.",Bâtons,Bâtons (https://www.notion.so/B-tons-bb87bd4935944028bfbf72b7897c337e?pvs=21),,,
Reine de Pentacles,"https://www.notion.so/180db67202e4455293bf7e2e12578f03, https://www.notion.so/c1acbf551d2b407393021a18949a986c, https://www.notion.so/c5601eb9cb504e27917f4e56e376ceb1, https://www.notion.so/d5c38f3694b743c789d8a7ab46703aef",,,,"Le visage suggère celui d'une femme brune, dont les qualités pourraient se résumer à l'idée de grandeur d'âme ; elle a aussi l'aspect sérieux de l'intelligence ; elle contemple son symbole et peut y voir des mondes.",🌱Terre,"Corps, fabrication, rapport aux ressources",0,,13,Reines (https://www.notion.so/Reines-ddfe2ceb9a3f40fb8b43fac2cc124b03?pvs=21),✨49,"Besoin de soins personnels; Mal, suspicion, suspense, peur, méfiance.","Soins personnels, créativité, abondance. Opulence, générosité, magnificence, sécurité, liberté.",Travail Intérieur,Pentacles,Pentacles (https://www.notion.so/Pentacles-6dc23f23bede4957b9abf2c636fd3199?pvs=21),,,
Deux de Coupes,"https://www.notion.so/45dcdc05ce5143f39a175c8a0c248044, https://www.notion.so/6b332450c461455ea8b55a3c2d44a732, https://www.notion.so/7d601c69d2204d5e8caf5f41a24d6ec0, https://www.notion.so/90262c49ad634373865b83f7c2e9c3ec, https://www.notion.so/a85d694b6bce437ea2304bf23dbfdccb, https://www.notion.so/b06474f617794d3490c3d30c6169cda7, https://www.notion.so/fbaaf63b7e954ea999d02b37912624da",,,,"Un jeune homme et une jeune fille s'engagent l'un envers l'autre, et au-dessus de leurs coupes s'élève le caducée d'Hermès, entre les grandes ailes duquel apparaît une tête de lion. Il s'agit d'une variante d'un signe que l'on retrouve dans quelques anciens exemplaires de cette carte. Des significations emblématiques curieuses y sont attachées, mais elles ne nous concernent pas ici.",💧Eau,"Emotions, Relations",0,,2,Deux (https://www.notion.so/Deux-2fc9d09967e54e819d63befe47b36334?pvs=21),✨66,"Rejet de soi ou des autres; L'amour de soi, les ruptures, la dysharmonie, la méfiance.","Partenariat/amour de soi. L'amour, la passion, l'amitié, l'affinité, l'union, la concorde, la sympathie, l'interrelation des sexes, et - comme une suggestion en dehors de tout office de divination - ce désir qui n'est pas dans la nature, mais par lequel la nature est sanctifiée.","Dualité, Intuition",Coupes,Coupes (https://www.notion.so/Coupes-27f997d58d8d427c917ebcdc8cf6ae77?pvs=21),,,
Trois de Coupes,"https://www.notion.so/1256b41e7c4e407fadb601c9fe2c8046, https://www.notion.so/3b83fa022d4f40beb5f8ca2b77d1ca11, https://www.notion.so/4b5761373d044996925088a468f6301c, https://www.notion.so/4dee890fd9924dacb30020920f70dac0, https://www.notion.so/55c7f16955a3471bb1b61a8df7dd8b39, https://www.notion.so/a81e8cdec384425980b56077b8d599cc, https://www.notion.so/fb0a43a12b27490a8496d45e5e405c82",,,,"Des jeunes filles dans un jardin avec des coupes levées, comme pour s'engager l'une envers l'autre.",💧Eau,"Emotions, Relations",1,,3,Trois (https://www.notion.so/Trois-5b61bce79f3347f48d65a28533791737?pvs=21),✨67,"Isolement / dépendance excessive à l'égard des autres; Expédition, envoi, réalisation, fin. Il signifie aussi le côté excessif des jouissances physiques et des plaisirs des sens.","Communauté, soutien. La conclusion de toute affaire dans l'abondance, la perfection et la gaieté ; issue heureuse, victoire, accomplissement, réconfort, guérison,","Synthèse ; connexion de l'esprit, de l'âme et du corps",Coupes,Coupes (https://www.notion.so/Coupes-27f997d58d8d427c917ebcdc8cf6ae77?pvs=21),Tirage du Cœur Estival (https://www.notion.so/Tirage-du-C-ur-Estival-f9ec550a7280458a922eb7cfbaaa88ac?pvs=21),,
Quatre de Bâtons,"https://www.notion.so/32fb62f5a60f4a7cad6342989636fb75, https://www.notion.so/4bb79aec6e064c71828c03ebd42bf035, https://www.notion.so/b54e1fe7547a466f97ad45f7e7385ab5, https://www.notion.so/cf3ef54f956f4748af85d9967365d119, https://www.notion.so/e2924185689b466d99e6a71e9057d2be, https://www.notion.so/f5ff3e27e6274b3d9d2fab6e6cf85751",,,,"Aux quatre grandes douves plantées au premier plan est suspendue une grande guirlande ; deux personnages féminins soulèvent des porte-noix ; à leurs côtés se trouve un pont sur un fossé, menant à une ancienne maison seigneuriale.",🔥 Feu,"Feu, action, créativité",1,,4,Quatre (https://www.notion.so/Quatre-944513e796a64c0b97ca99a25a907ec9?pvs=21),✨26,"Manque de soutien; Le sens reste inchangé ; c'est la prospérité, l'augmentation, la félicité, la beauté, l'embellissement.","Célébration, se sentir bien dans sa peau, Ils sont pour une fois presque à la surface - la vie à la campagne, le refuge, une sorte de récolte domestique - le foyer, le repos, la concorde, l'harmonie, la prospérité, la paix, et l'œuvre perfectionnée de ceux-ci.","Structure, limites, soins personnels",Bâtons,Bâtons (https://www.notion.so/B-tons-bb87bd4935944028bfbf72b7897c337e?pvs=21),Les problèmes de l’été (https://www.notion.so/Les-probl-mes-de-l-t-8f571347361940d99bebe8b1591d7f32?pvs=21),,
Quatre de Coupes,"https://www.notion.so/32fb62f5a60f4a7cad6342989636fb75, https://www.notion.so/4bb79aec6e064c71828c03ebd42bf035, https://www.notion.so/b54e1fe7547a466f97ad45f7e7385ab5, https://www.notion.so/cf3ef54f956f4748af85d9967365d119, https://www.notion.so/e2924185689b466d99e6a71e9057d2be, https://www.notion.so/f5ff3e27e6274b3d9d2fab6e6cf85751",,,,"Un jeune homme est assis sous un arbre et contemple trois tasses posées sur l'herbe devant lui ; un bras sortant d'un nuage lui offre une autre tasse. Malgré tout, son expression est celle d'un mécontentement vis-à-vis de son environnement.",💧Eau,"Emotions, Relations",0,,4,Quatre (https://www.notion.so/Quatre-944513e796a64c0b97ca99a25a907ec9?pvs=21),✨68,"Prendre la responsabilité de choses qui ne vous appartiennent pas; Nouveauté, présage, nouvelle instruction, nouvelles relations.","Délibération, méditation, limites émotionnelles. Lassitude, dégoût, aversion, vexations imaginaires, comme si le vin de ce monde n'avait provoqué que la satiété ; un autre vin, comme un cadeau de fée, est maintenant offert au gaspilleur, mais il n'y voit aucune consolation. C'est aussi une carte du plaisir mélangé.","Structure, limites, soins personnels",Coupes,Coupes (https://www.notion.so/Coupes-27f997d58d8d427c917ebcdc8cf6ae77?pvs=21),,,
Trois de Pentacles,"https://www.notion.so/1256b41e7c4e407fadb601c9fe2c8046, https://www.notion.so/3b83fa022d4f40beb5f8ca2b77d1ca11, https://www.notion.so/4b5761373d044996925088a468f6301c, https://www.notion.so/4dee890fd9924dacb30020920f70dac0, https://www.notion.so/55c7f16955a3471bb1b61a8df7dd8b39, https://www.notion.so/a81e8cdec384425980b56077b8d599cc, https://www.notion.so/fb0a43a12b27490a8496d45e5e405c82",,,,Un sculpteur à son travail dans un monastère. Comparez le dessin qui illustre le huit de pentacle. L'apprenti ou l'amateur a reçu sa récompense et se met sérieusement au travail.,🌱Terre,"Corps, fabrication, rapport aux ressources",0,,3,Trois (https://www.notion.so/Trois-5b61bce79f3347f48d65a28533791737?pvs=21),✨39,"Essayer de le faire seul; Médiocrité, dans le travail et ailleurs, puérilité, mesquinerie, faiblesse.","Travail d'équipe, coopération. Métier, profession, travail qualifié ; généralement, cependant, considéré comme une carte de noblesse, d'aristocratie, de renommée, de gloire.","Synthèse ; connexion de l'esprit, de l'âme et du corps",Pentacles,Pentacles (https://www.notion.so/Pentacles-6dc23f23bede4957b9abf2c636fd3199?pvs=21),,,
Quatre d’Epées,"https://www.notion.so/32fb62f5a60f4a7cad6342989636fb75, https://www.notion.so/4bb79aec6e064c71828c03ebd42bf035, https://www.notion.so/b54e1fe7547a466f97ad45f7e7385ab5, https://www.notion.so/cf3ef54f956f4748af85d9967365d119, https://www.notion.so/e2924185689b466d99e6a71e9057d2be, https://www.notion.so/f5ff3e27e6274b3d9d2fab6e6cf85751",,,,"L'effigie d'un chevalier dans l'attitude de la prière, en pied sur sa tombe.",🌬Air,"Esprit, Imaginaire, Mental",0,,4,Quatre (https://www.notion.so/Quatre-944513e796a64c0b97ca99a25a907ec9?pvs=21),✨54,"Répit/brûlure; Administration sage, circonspection, économie, avarice, précaution, testament.","Restauration. Vigilance, retraite, solitude, repos de l'ermite, exil, tombe et cercueil. Ce sont ces derniers qui ont suggéré le dessin.","Structure, limites, soins personnels",Epées,Epées (https://www.notion.so/Ep-es-bcb057fdbc6f4faab96344f1bddec5bc?pvs=21),,,
